,jichang,shike,quedingxingrongliang,quedingxingronglianggailv,buquedingxingrongliang,buquedingxingronglianggailv,leijiagailv,1,2,3,4,5,6,7,8,9,10
182,ZBAA,50,15,1,6,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
183,ZBAA,50,15,1,8,0.04,0.98,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
184,ZBAA,50,15,1,9,0.08,0.94,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
185,ZBAA,50,15,1,10,0.12,0.86,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
186,ZBAA,50,15,1,11,0.26,0.7400000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
187,ZBAA,50,15,1,12,0.04,0.48000000000000004,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
188,ZBAA,50,15,1,13,0.08,0.44000000000000006,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
189,ZBAA,50,15,1,14,0.08,0.36000000000000004,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
190,ZBAA,50,15,1,15,0.14,0.28,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
191,ZBAA,50,15,1,16,0.12,0.13999999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
192,ZBAA,50,15,1,17,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
193,ZBAA,51,14,1,7,0.04,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
194,ZBAA,51,14,1,8,0.06,0.96,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
195,ZBAA,51,14,1,9,0.16,0.9,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
196,ZBAA,51,14,1,10,0.08,0.74,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
197,ZBAA,51,14,1,11,0.12,0.66,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
198,ZBAA,51,14,1,12,0.16,0.54,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
199,ZBAA,51,14,1,13,0.12,0.38,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
200,ZBAA,51,14,1,14,0.12,0.25999999999999995,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
